"Record_Index";"Message_ID";"IMEI";"Date_F";"Time_F";"Project_Version";"ID_Number";"Panel1_bv";"Panel2_bv";"Bridge1_dcv";"Bridge2_dcv";"Bridge1_dcc";"Bridge2_dcc";"Panel_dc1kw";"Panel2_dc1kw";"Status";"Panel_dctotalkw";"R_vol";"Y_vol";"B_vol";"R_curr";"Y_curr";"B_curr";"Frequency";"Phase1_kw";"Phase1_kvar";"Phase1_kva";"Phase2_kw";"Phase2_kvar";"Phase2_kva";"Phase3_kw";"Phase3_kvar";"Phase3_kva";"Bridge11_temp";"Bridge12_temp";"Bridge13_temp";"Bridge21_temp";"Bridge22_temp";"Bridge23_temp";"Cabinet1_temp";"Cabinet2_temp";"Cabinet3_temp";"Inductive1_temp";"Inductive2_temp";"Ambient_temp";"CCU_temp";"Coolingin_temp";"Coolingout_temp";"Active1_energy";"Active2_energy";"Activetotal_energy";"DC1_energy";"DC2_energy";"DCtotal_energy";"Reactive1_energy";"Reactive2_energy";"Reactivetotal_energy";"Capacitive1_energy";"Capacitive2_energy";"Capacitivetotal_energy";"SCB1";"SCB2";"SCB3";"SCB4";"SCB5";"SCB6";"SCB7";"SCB8";"SCB9";"SCB10";"Dummy9";"Dummy10";"Dummy11";"Dummy12";"Dummy13";"Dummy14";"Dummy15";"Dummy16";"Dummy17";"Dummy18";"Dummy19";"Dummy20";"Dummy21";"Dummy22";"Dummy23";"Date_S";"Time_S"
1;"WTWMD";862265073105518;"2026-05-21";"13:30:04";"WTS";"S00001";8.3;1053.4;2.9;"2026-05-21";"13:29:56";41.6;0.8;679.7;"RUN";487.0;487.0;452.0;695.0;694.0;671.0;65.0;99.99;204.2;3.2;49.9;91.9;10.8;231.1;1235.3;315.9;23.6;210.4;5163.0;160.9;11.9;300.9;1684.5;395.8;25.3;270.3;6204.3;57.0;62.0;54.0;63.0;46.9;34;67;78;71;46;80;0;50;51;43;0;0;0;0;0;0;71;71;37;43;48;34;"51.0";"82.0";"86.0";"0.0";"79.9";"81457";"81418";"81169";"81134";"81048";"80517";"0";"67692";"79385";"67692";"2026-05-21";"03:18:47"
2;"WTWMD";862265073105518;"2026-05-21";"13:30:41";"WTS";"S00001";8.1;1041.6;4.1;"2026-05-21";"13:30:32";0.2;0.1;679.7;"RUN";487.0;487.0;452.0;695.0;694.0;671.0;65.0;99.99;219.6;2.9;49.9;91.9;10.8;231.1;1235.3;315.9;23.6;210.4;5163.0;161.3;11.9;300.9;1684.5;395.8;25.3;270.3;6204.3;57.0;62.0;54.0;63.0;44.0;36;67;78;71;46;80;0;50;51;43;0;0;0;0;0;0;71;71;37;44;48;36;"51.0";"81.0";"81.0";"0.0";"79.9";"81457";"81418";"81169";"81134";"81048";"80517";"0";"67692";"79385";"67692";"2026-05-21";"03:18:47"
3;"WTWMD";862265073105518;"2026-05-21";"13:31:15";"WTS";"S00001";7.6;965.2;4.9;"2026-05-21";"13:31:07";0.1;0.0;680.7;"RUN";487.0;487.0;452.0;695.0;694.0;671.0;65.0;99.99;212.6;2.4;50.0;91.9;10.8;231.1;1235.3;315.9;23.6;210.4;5163.0;162.2;11.9;300.9;1684.5;395.8;25.3;270.3;6204.3;57.0;62.0;54.0;63.0;44.0;34;67;78;71;46;81;0;50;50;42;0;0;0;0;0;0;72;72;37;43;48;34;"51.0";"80.0";"81.0";"0.0";"79.9";"81457";"81418";"81169";"81134";"81048";"80517";"0";"67692";"79385";"67692";"2026-05-21";"03:18:48"
4;"WTWMD";862265073105518;"2026-05-21";"15:44:17";"WTS";"S00001";0.0;0.0;2.7;"2026-05-21";"15:44:09";0.1;84.2;688.2;"RUN";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;209.7;83.0;49.6;31.4;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;83.8;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;62.0;51.0;57.0;44.0;35;68;79;72;49;66;0;51;49;42;0;0;0;0;0;0;68;68;39;44;49;35;"50.0";"66.0";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81050";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:19:08"
5;"WTWMD";862265073105518;"2026-05-21";"15:44:47";"WTS";"S00001";0.2;14.1;2.7;"2026-05-21";"15:44:39";0.8;81.6;689.2;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;211.1;38.6;49.7;31.4;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;83.8;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;62.9;51.0;57.0;44.0;35;68;79;72;49;67;0;51;49;42;0;0;0;0;0;0;68;68;39;44;49;35;"49.0";"66.0";"66.9";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:19:39"
6;"WTWMD";862265073105518;"2026-05-21";"15:45:17";"WTS";"S00001";0.4;59.3;1.0;"2026-05-21";"15:45:09";0.0;99.5;689.6;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;208.6;32.7;49.6;31.4;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;83.8;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;62.0;51.0;57.0;44.0;35;68;79;72;49;66;0;51;48;41;0;0;0;0;0;0;68;68;39;45;49;35;"49.0";"66.9";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:20:11"
7;"WTWMD";862265073105518;"2026-05-21";"15:45:47";"WTS";"S00001";0.8;102.2;2.5;"2026-05-21";"15:45:39";0.2;30.9;688.8;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;204.9;20.6;49.9;31.4;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;83.9;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;62.0;51.0;57.0;44.0;35;68;79;72;49;66;0;51;48;41;0;0;0;0;0;0;67;67;39;45;49;35;"49.0";"66.0";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:20:38"
8;"WTWMD";862265073105518;"2026-05-21";"15:46:00";"WTS";"S00001";1.3;171.5;2.5;"2026-05-21";"15:46:11";0.2;100.0;689.1;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;206.3;14.9;50.0;31.4;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;84.0;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;61.0;51.0;57.0;44.0;35;68;79;72;50;65;0;51;47;41;0;0;0;0;0;0;67;67;39;45;49;35;"49.0";"66.0";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:21:17"
9;"WTWMD";862265073105518;"2026-05-21";"15:46:47";"WTS";"S00001";1.7;225.2;4.6;"2026-05-21";"15:46:39";0.1;94.8;689.3;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;219.1;68.3;50.2;31.4;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;85.1;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;61.0;51.0;57.0;44.0;35;68;79;72;50;65;0;51;47;41;0;0;0;0;0;0;67;67;39;44;49;35;"49.0";"65.0";"66.9";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:21:52"
10;"WTWMD";862265073105518;"2026-05-21";"15:47:21";"WTS";"S00001";1.5;130.5;5.8;"2026-05-21";"15:47:13";0.3;100.0;689.3;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;215.5;86.0;50.1;31.4;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;87.7;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;61.0;51.0;57.0;44.0;35;68;79;72;50;65;0;51;47;41;0;0;0;0;0;0;67;67;39;44;49;35;"49.0";"65.9";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:22:15"
11;"WTWMD";862265073105518;"2026-05-21";"15:47:47";"WTS";"S00001";0.3;37.5;2.6;"2026-05-21";"15:47:39";0.0;38.9;689.0;"RUN";66026.0;999.99;454.0;695.0;694.0;671.0;65.0;99.99;210.5;86.0;50.3;31.4;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;88.4;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;61.0;51.0;57.0;44.3;36;68;79;72;50;65;0;51;47;40;0;0;0;0;0;0;67;67;39;44;49;36;"49.0";"65.0";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:22:46"
12;"WTWMD";862265073105518;"2026-05-21";"15:48:18";"WTS";"S00001";0.1;18.1;6.2;"2026-05-21";"15:48:09";1.1;5.0;689.0;"RUN";66026.0;999.99;454.0;695.0;694.0;671.0;65.0;99.99;203.7;86.0;50.1;31.4;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;94.9;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;61.0;51.0;57.0;44.0;35;68;79;72;50;65;0;51;47;40;0;0;0;0;0;0;67;67;40;44;49;35;"49.0";"65.0";"65.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:23:08"
13;"WTWMD";862265073105518;"2026-05-21";"15:48:48";"WTS";"S00001";0.1;30.9;7.6;"2026-05-21";"15:48:39";0.4;7.9;689.2;"RUN";66026.0;999.99;454.0;695.0;694.0;671.0;65.0;99.99;211.8;26.8;49.9;31.4;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;103.7;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;61.0;51.0;57.0;44.0;35;68;79;72;50;65;0;51;47;40;0;0;0;0;0;0;67;67;40;44;49;35;"49.0";"65.0";"65.9";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:23:42"
14;"WTWMD";862265073105518;"2026-05-21";"15:49:18";"WTS";"S00001";2.5;324.4;5.8;"2026-05-21";"15:49:09";21.0;0.0;692.0;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;204.5;4.5;49.9;31.5;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;110.9;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;61.0;51.0;57.0;44.7;35;68;79;72;50;60;0;51;47;40;0;0;0;0;0;0;67;67;40;44;49;35;"49.0";"69.9";"55.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:24:08"
15;"WTWMD";862265073105518;"2026-05-21";"15:49:30";"WTS";"S00001";9.3;1176.8;5.6;"2026-05-21";"15:49:41";533.5;42.1;692.7;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;219.4;1.0;49.7;34.2;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;116.8;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;61.0;51.0;57.0;44.9;35;68;79;72;51;68;0;51;47;41;0;0;0;0;0;0;67;67;39;44;49;35;"49.0";"63.0";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:24:47"
